concept_id,concept_name,standard_concept,standard_concept_caption,invalid_reason,invalid_reason_caption,concept_code,domain_id,vocabulary_id,concept_class_id,valid_start_date,valid_end_date
43720661,100000 MG Glucose 0.774 MG/MG / Potassium Chloride 0.054 MG/MG / Sodium Chloride 0.125 MG/MG / sodium citrate 0.104 MG/MG Injectable Solution by MoritzApotheke,S,Standard,V,Valid,OMOP825706,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43702869,100000 MG Glucose 0.774 MG/MG / Potassium Chloride 0.054 MG/MG / Sodium Chloride 0.125 MG/MG / sodium citrate 0.104 MG/MG Injectable Solution by Oberlaender-Apoheke,S,Standard,V,Valid,OMOP825715,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43810747,100000 MG Glucose 0.774 MG/MG / Potassium Chloride 0.054 MG/MG / Sodium Chloride 0.125 MG/MG / sodium citrate 0.104 MG/MG Injectable Solution by Pfingstweide-Apotheke Juergen Duerrwang,S,Standard,V,Valid,OMOP825702,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43774720,100000 MG Glucose 0.774 MG/MG / Potassium Chloride 0.054 MG/MG / Sodium Chloride 0.125 MG/MG / sodium citrate 0.104 MG/MG Injectable Solution by Rathaus-Apotheke,S,Standard,V,Valid,OMOP825712,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43612744,100000 MG Glucose 0.774 MG/MG / Potassium Chloride 0.054 MG/MG / Sodium Chloride 0.125 MG/MG / sodium citrate 0.104 MG/MG Injectable Solution by Ronhof-Apotheke,S,Standard,V,Valid,OMOP825713,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
41513735,100000 MG Hydrocortisone 0.005 MG/MG / Sodium 0.04 MG/MG / Urea 0.04 MG/MG Topical Cream,S,Standard,V,Valid,OMOP2711697,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
41512706,100000 MG Hydrocortisone 0.005 MG/MG / Sodium 0.04 MG/MG / Urea 0.04 MG/MG Topical Cream Box of 1,S,Standard,V,Valid,OMOP2710668,Drug,RxNorm Extension,Quant Clinical Box,1503547200000,4102376400000
41512125,100000 MG Hydrocortisone 0.005 MG/MG / Sodium 0.04 MG/MG / Urea 0.04 MG/MG Topical Cream [Condilan],S,Standard,V,Valid,OMOP2710087,Drug,RxNorm Extension,Quant Branded Drug,1503547200000,4102376400000
41512815,100000 MG Hydrocortisone 0.005 MG/MG / Sodium 0.04 MG/MG / Urea 0.04 MG/MG Topical Cream [Condilan] Box of 1,S,Standard,V,Valid,OMOP2710777,Drug,RxNorm Extension,Quant Branded Box,1503547200000,4102376400000
43720745,100000 MG Sodium Bicarbonate 0.072 MG/MG / Sodium Chloride 0.028 MG/MG Topical Ointment,S,Standard,V,Valid,OMOP827112,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
43685040,100000 MG Sodium Bicarbonate 0.072 MG/MG / Sodium Chloride 0.028 MG/MG Topical Ointment [Nisita],S,Standard,V,Valid,OMOP827113,Drug,RxNorm Extension,Quant Branded Drug,1503547200000,4102376400000
43738828,100000 MG Sodium Bicarbonate 0.072 MG/MG / Sodium Chloride 0.028 MG/MG Topical Ointment [Nisita] by Engelhard,S,Standard,V,Valid,OMOP827114,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
35421099,100000 MG Sodium Chloride 0.15 MG/MG Toothpaste,S,Standard,V,Valid,OMOP1154684,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
35421116,100000 MG Sodium Chloride 0.15 MG/MG Toothpaste Box of 1,S,Standard,V,Valid,OMOP1154701,Drug,RxNorm Extension,Quant Clinical Box,1503547200000,4102376400000
35421083,100000 MG Sodium Chloride 0.15 MG/MG Toothpaste [SELGINE],S,Standard,V,Valid,OMOP1154668,Drug,RxNorm Extension,Quant Branded Drug,1503547200000,4102376400000
35421093,100000 MG Sodium Chloride 0.15 MG/MG Toothpaste [SELGINE] Box of 1,S,Standard,V,Valid,OMOP1154678,Drug,RxNorm Extension,Quant Branded Box,1503547200000,4102376400000
35421132,100000 MG Sodium Chloride 0.15 MG/MG Toothpaste [SELGINE] Box of 1 by Teofarma,S,Standard,V,Valid,OMOP1154717,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43045260,100000 MG Sodium Chloride 0.15 MG/MG Toothpaste [SELGINE] by Teofarma,S,Standard,V,Valid,OMOP4860259,Drug,RxNorm Extension,Marketed Product,1570334400000,4102376400000
36897464,100000 MG Sodium Chloride 0.992 MG/MG Medicated Liquid Soap,S,Standard,V,Valid,OMOP1002518,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
43702941,100000 MG Sodium Chloride 0.992 MG/MG Medicated Liquid Soap [Meba],S,Standard,V,Valid,OMOP826994,Drug,RxNorm Extension,Quant Branded Drug,1503547200000,4102376400000
43630933,100000 MG Sodium Chloride 0.992 MG/MG Medicated Liquid Soap [Meba] by Vitalia,S,Standard,V,Valid,OMOP826995,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43865229,100000 MG Sodium Chloride 0.995 MG/MG Medicated Liquid Soap,S,Standard,V,Valid,OMOP827097,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
43738827,100000 MG Sodium Chloride 0.995 MG/MG Medicated Liquid Soap [Alpen-Sol-Bad],S,Standard,V,Valid,OMOP827098,Drug,RxNorm Extension,Quant Branded Drug,1503547200000,4102376400000
43810817,100000 MG Sodium Chloride 0.995 MG/MG Medicated Liquid Soap [Alpen-Sol-Bad] by Allgaeuer Heilmoor Ehrlich,S,Standard,V,Valid,OMOP827099,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43595108,100000 ML Sodium Chloride 9.5 MG/ML Bath Salts,S,Standard,V,Valid,OMOP832768,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
43720959,100000 ML Sodium Chloride 9.5 MG/ML Bath Salts [Medizinisches Badesalz Aus Dem Toten Meer],S,Standard,V,Valid,OMOP832769,Drug,RxNorm Extension,Quant Branded Drug,1503547200000,4102376400000
43631154,100000 ML Sodium Chloride 9.5 MG/ML Bath Salts [Medizinisches Badesalz Aus Dem Toten Meer] by Fette,S,Standard,V,Valid,OMOP832770,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43717547,10000 MG Calcium Chloride 0.005 MG/MG / Potassium Chloride 0.005 MG/MG / Sodium Chloride 0.005 MG/MG Topical Cream,S,Standard,V,Valid,OMOP776334,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
43753595,10000 MG Calcium Chloride 0.005 MG/MG / Potassium Chloride 0.005 MG/MG / Sodium Chloride 0.005 MG/MG Topical Cream [Jonen-Salbe],S,Standard,V,Valid,OMOP776335,Drug,RxNorm Extension,Quant Branded Drug,1503547200000,4102376400000
43627655,10000 MG Calcium Chloride 0.005 MG/MG / Potassium Chloride 0.005 MG/MG / Sodium Chloride 0.005 MG/MG Topical Cream [Jonen-Salbe] by Medphano,S,Standard,V,Valid,OMOP776336,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
35789986,1000 MG Sodium Chloride 0.005 MG/MG Ophthalmic Ointment,S,Standard,V,Valid,OMOP2791447,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
35789985,1000 MG Sodium Chloride 0.05 MG/MG Ophthalmic Ointment,S,Standard,V,Valid,OMOP2791446,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
35789937,1000 MG Sodium Chloride 0.05 MG/MG Ophthalmic Ointment by Drug Tariff Special Order,S,Standard,V,Valid,OMOP2791398,Drug,RxNorm Extension,Marketed Product,1503547200000,4102376400000
43733742,1000 ML Acetylcysteine 0.24 MG/ML / Alanine 5.4 MG/ML / Ammonium Chloride 1.65 MG/ML / Arginine 3.43 MG/ML / Aspartic Acid 0.67 MG/ML / Calcium Chloride 0.48 MG/ML / Glucose 50 MG/ML / Glutamate 1.75 MG/ML / ... Injectable Solution,S,Standard,V,Valid,OMOP722584,Drug,RxNorm Extension,Quant Clinical Drug,1503547200000,4102376400000
43733743,1000 ML Acetylcysteine 0.24 MG/ML / Alanine 5.4 MG/ML / Ammonium Chloride 1.65 MG/ML / Arginine 3.43 MG/ML / Aspartic Acid 0.67 MG/ML / Calcium Chloride 0.48 MG/ML / Glucose 50 MG/ML / Glutamate 1.75 MG/ML / ... Injectable Solution [Salviamin],S,Standard,V,Valid,OMOP722585,Drug,RxNorm Extension,Quant Branded Drug,1503547200000,4102376400000
